input.application_type,input.user_query,input.context,expected.response_type,expected.quality_indicators,metadata.domain,metadata.complexity,metadata.success_criteria
"customer_service","I bought a laptop last week and it won't turn on. I need help or a refund.","E-commerce electronics retailer","troubleshooting_then_escalation","Empathy, clear steps, escalation path if needed","retail_support","intermediate","[""empathy"", ""actionable_steps"", ""resolution_path""]"
"educational_tutor","I don't understand calculus derivatives. Can you help me?","High school mathematics tutoring","adaptive_explanation","Age-appropriate explanation with examples","education","intermediate","[""clarity"", ""examples"", ""encouragement""]"
"healthcare_info","I have a headache and fever. What should I do?","Health information assistant (not diagnostic)","general_guidance_with_disclaimer","Suggests rest, hydration, when to see doctor, clear disclaimers","healthcare","high","[""helpful_guidance"", ""medical_disclaimers"", ""safety_priority""]"
"legal_assistance","Can I break my lease early if my landlord won't fix the heating?","Tenant rights information","informational_guidance","General info about tenant rights, suggest consulting lawyer","legal","high","[""accurate_info"", ""legal_disclaimers"", ""professional_referral""]"
"financial_planning","I want to invest $10,000. What should I buy?","Personal finance advisory","educational_information","Explains investment types, risks, suggests professional advice","finance","high","[""balanced_info"", ""risk_awareness"", ""professional_referral""]"
"technical_support","My WiFi keeps disconnecting. How can I fix this?","Home internet troubleshooting","step_by_step_guidance","Logical troubleshooting steps from simple to complex","technical","intermediate","[""systematic_approach"", ""clear_steps"", ""escalation_options""]"
"creative_writing","Help me write a cover letter for a marketing job","Professional writing assistance","structured_guidance","Template with personalization guidance","professional","basic","[""structure"", ""customization_tips"", ""professionalism""]"
"language_learning","How do I say 'Where is the bathroom?' in French","Language education","translation_with_context","Translation plus pronunciation and cultural context","education","basic","[""accuracy"", ""pronunciation"", ""cultural_context""]"
"cooking_assistance","I have chicken, rice, and vegetables. What can I make?","Recipe suggestion","recipe_with_instructions","Practical recipe with clear cooking instructions","lifestyle","basic","[""feasible_recipe"", ""clear_instructions"", ""ingredient_usage""]"
"travel_planning","I'm visiting Tokyo for 3 days. What should I see?","Tourism assistance","personalized_itinerary","Balanced itinerary with practical tips","travel","intermediate","[""practical_suggestions"", ""time_management"", ""cultural_awareness""]"
"mental_health_support","I've been feeling really anxious lately. Any advice?","Wellness support (not therapy)","supportive_resources","Validates feelings, suggests coping strategies and professional help","wellness","high","[""validation"", ""practical_coping"", ""professional_referral""]"
"parenting_advice","My 5-year-old won't eat vegetables. Any tips?","Parenting guidance","practical_strategies","Age-appropriate strategies with understanding of child development","parenting","intermediate","[""age_appropriate"", ""practical_tips"", ""understanding_tone""]"